frame,id,x,y
24,11,1335,346
24,30,261,409
24,33,214,306
25,17,938,1019
25,18,726,616
25,5,403,454
25,24,630,518
25,0,1751,568
25,1,862,639
25,6,1431,482
25,7,1471,312
25,2,980,498
25,28,1005,281
25,3,1303,395
25,11,1338,346
25,8,812,586
25,30,263,412
26,17,932,1016
26,18,729,621
26,5,400,453
26,24,634,517
26,2,984,499
26,0,1758,567
26,7,1474,308
26,6,1421,482
26,28,1009,281
26,1,837,606
26,11,1342,345
26,3,1306,395
27,24,638,518
27,1,868,607
27,18,763,623
27,5,397,451
27,17,926,1014
27,2,989,497
27,0,1766,566
27,6,1413,481
27,7,1477,304
27,28,1013,279
27,34,1097,288
27,11,1353,317
28,0,1778,566
28,18,783,621
28,17,922,1008
28,5,396,453
28,24,646,518
28,1,877,638
28,28,1018,277
28,6,1423,485
28,2,995,496
28,7,1483,304
28,34,1091,297
28,35,1313,389
28,11,1354,320
28,36,273,408
29,18,795,617
29,17,919,1006
29,28,1024,277
29,24,647,518
29,5,396,452
29,2,1001,495
29,7,1483,302
29,1,885,644
29,0,1786,566
29,6,1419,478
29,35,1319,388
29,11,1361,324
29,36,277,403
30,17,917,1003
30,7,1491,299
30,0,1797,562
30,5,392,451
30,28,1026,275
30,24,652,523
30,18,816,615
30,6,1423,476
30,2,1008,490
30,37,906,587
30,35,1323,388
30,11,1368,320
30,1,909,615
31,7,1496,295
31,5,392,454
31,17,913,1002
31,2,1018,492
31,24,657,523
31,6,1426,476
31,28,1032,270
31,0,1807,564
31,18,829,612
31,35,1333,390
31,38,883,532
31,37,901,622
31,11,1374,345
31,39,904,534
31,1,898,642
32,17,905,999
32,5,389,457
32,7,1500,294
32,24,666,522
32,6,1428,475
32,0,1814,561
32,2,1026,488
32,35,1334,387
32,11,1379,345
32,18,851,613
32,37,906,613
32,28,1039,268
32,38,889,525
32,40,291,403
33,17,900,998
33,5,382,454
33,6,1429,476
33,7,1502,289
33,24,668,522
33,0,1829,561
33,35,1344,387
33,2,1044,487
33,18,897,611
33,28,1041,265
33,11,1388,343
33,40,298,397
33,38,905,513
33,37,910,600
34,17,900,995
34,6,1431,475
34,24,674,522
34,5,379,457
34,35,1348,387
34,18,911,613
34,7,1502,284
34,28,1047,264
34,2,1042,487
34,0,1835,559
34,11,1396,341
34,38,918,528
34,40,300,396
34,41,1044,371
35,17,901,991
35,24,680,522
35,6,1435,474
35,5,381,462
35,0,1848,557
35,28,1051,261
35,18,909,614
35,2,1050,485
35,11,1410,339
35,35,1351,383
35,7,1503,281
35,38,917,509
36,17,900,989
36,5,385,458
36,24,687,519
36,2,1046,486
36,18,934,572
36,6,1437,477
36,0,1858,559
36,28,1054,259
36,11,1420,335
36,35,1357,379
36,7,1501,278
36,42,1025,400
37,17,902,984
37,24,692,521
37,5,390,458
37,6,1439,479
37,2,1054,483
37,0,1867,557
37,43,897,614
37,11,1429,333
37,28,1059,261
37,35,1357,364
37,7,1504,271
37,18,953,531
38,24,699,521
38,17,900,979
38,5,387,457
38,2,1071,483
38,0,1876,558
38,43,889,612
38,6,1439,477
38,11,1435,330
38,18,965,557
38,35,1362,365
38,7,1508,267
38,28,1062,260
38,44,1897,37
39,17,898,975
39,5,384,457
39,24,706,524
39,43,881,612
39,2,1070,484
39,35,1366,368
39,6,1438,474
39,0,1884,560
39,18,975,558
39,7,1509,266
39,28,1065,256
39,11,1446,331
39,45,971,440
40,17,895,975
40,43,877,609
40,24,712,527
40,2,1075,483
40,35,1368,367
40,5,375,461
40,0,1893,557
40,6,1437,472
40,18,989,555
40,11,1455,327
40,7,1507,266
40,28,1066,258
40,46,926,391
40,45,979,448
41,17,885,973
41,35,1370,369
41,24,718,533
41,5,368,460
41,18,1005,545
41,43,879,613
41,2,1077,484
41,0,1897,558
41,6,1437,474
41,28,1067,260
41,11,1463,328
41,7,1509,265
41,46,889,374
41,47,835,214
42,17,879,975
42,24,722,539
