frame,id,x,y
61,5,779,908
61,3,1772,74
61,28,648,435
62,0,844,518
62,2,1456,82
62,1,1202,111
62,3,1768,74
62,5,765,907
63,0,849,514
63,2,1443,82
63,1,1188,109
63,3,1760,72
63,29,344,66
63,5,761,907
63,30,1578,80
64,0,850,515
64,2,1442,82
64,1,1188,109
64,3,1760,72
64,29,344,66
64,5,762,907
64,30,1578,80
65,0,849,508
65,2,1430,79
65,3,1748,72
65,1,1176,108
65,5,774,909
65,29,331,66
65,30,1566,79
66,0,846,506
66,2,1417,79
66,1,1164,103
66,3,1731,71
66,5,782,905
66,29,313,64
67,0,847,491
67,2,1399,77
67,1,1149,100
67,3,1715,70
67,5,793,903
68,0,847,491
68,2,1382,75
68,3,1698,70
68,1,1134,97
68,5,804,901
69,0,837,502
69,1,1110,94
69,5,809,903
69,2,1357,73
69,3,1680,66
69,31,1868,948
69,32,1497,66
69,33,263,63
70,0,837,502
70,5,809,904
70,1,1110,94
70,2,1357,73
70,3,1679,66
70,31,1868,947
70,32,1498,66
70,33,263,63
71,0,828,509
71,3,1653,66
71,2,1336,72
71,1,1087,92
71,5,812,906
71,34,195,107
71,31,1851,924
72,0,817,506
72,1,1067,90
72,2,1317,71
72,5,820,909
72,3,1631,64
72,35,1833,741
72,34,174,106
72,36,1834,871
72,37,1450,64
73,0,806,508
73,2,1293,70
73,5,826,915
73,1,1042,89
73,3,1605,63
73,34,151,104
73,36,1819,873
73,35,1819,738
74,0,787,506
74,5,829,918
74,2,1270,69
74,1,1021,87
74,3,1586,61
74,34,131,103
74,36,1808,833
74,38,1406,62
75,0,769,518
75,36,1797,826
75,2,1247,69
75,34,106,105
75,1,997,85
75,3,1560,61
75,5,832,916
75,39,1834,470
76,0,769,519
76,36,1797,825
76,2,1246,69
76,34,106,105
76,1,997,86
76,3,1560,61
76,5,832,917
76,39,1835,472
77,0,756,523
77,36,1776,826
77,2,1227,68
77,5,833,918
77,1,980,83
77,3,1543,60
77,34,105,100
78,0,745,510
78,36,1767,826
78,5,834,918
78,34,112,100
78,2,1203,68
78,1,972,81
78,3,1517,60
79,36,1754,825
79,5,832,919
79,0,735,508
79,34,97,96
79,2,1182,67
79,3,1496,58
79,1,956,79
80,36,1739,825
80,0,722,512
80,34,86,100
80,2,1158,66
80,1,936,77
80,5,831,921
80,3,1470,56
81,36,1723,825
81,0,718,515
81,5,833,924
81,2,1137,65
81,34,75,98
81,3,1445,57
81,1,913,76
81,40,1298,486
81,41,1273,57
82,36,1721,825
82,0,715,514
82,5,833,924
82,2,1137,65
82,34,75,98
82,3,1445,57
82,1,910,75
82,40,1298,487
82,41,1274,57
83,36,1712,823
83,0,710,513
83,5,828,925
83,2,1111,64
83,34,62,99
83,3,1421,56
83,1,886,72
84,36,1694,822
84,0,714,515
84,5,824,927
84,2,1089,64
84,3,1399,56
84,34,53,94
84,1,843,73
85,36,1674,818
85,0,713,511
85,5,819,929
85,2,1066,63
85,3,1372,55
85,1,797,75
85,34,44,109
86,0,719,513
86,36,1655,813
86,2,1045,62
86,5,814,927
86,3,1355,55
86,1,779,73
87,5,805,929
87,36,1636,808
87,0,728,518
87,2,1016,62
87,3,1331,55
87,1,773,74
87,42,1180,479
88,5,805,929
88,36,1636,808
88,0,728,518
88,2,1016,62
88,3,1331,55
88,1,775,74
88,42,1180,479
88,43,1296,475
89,36,1618,805
89,5,799,928
89,0,726,526
89,2,995,61
89,3,1307,54
89,1,745,72
89,42,1157,480
90,5,792,930
90,36,1600,793
90,0,710,530
90,2,971,60
90,1,723,70
90,3,1278,54
90,42,1129,477
91,36,1583,788
91,5,783,929
91,0,705,533
91,44,461,407
91,2,945,59
91,1,701,67
91,3,1253,53
91,42,1105,475
91,45,1222,467
92,0,680,527
92,36,1571,781
92,5,774,929
92,2,920,57
92,1,671,66
92,3,1223,51
92,42,1079,472
93,0,674,528
93,36,1559,778
93,5,764,928
93,1,643,63
93,3,1205,49
93,2,898,56
93,42,1053,472
94,0,674,528
94,36,1558,777
94,5,764,928
94,1,643,62
94,42,1054,471
94,2,898,55
94,3,1205,49
95,36,1548,772
95,0,671,529
95,1,618,61
95,5,757,923
95,3,1179,49
95,2,870,54
96,36,1534,770
96,0,668,510
96,5,749,924
96,3,1151,47
96,1,597,60
96,2,871,52
96,46,460,368
97,36,1520,766
97,0,665,491
97,1,571,60
97,5,749,926
97,46,464,367
97,3,1126,47
97,47,871,454
97,48,1066,47
98,36,1504,761
98,0,664,482
98,5,749,925
98,1,543,56
98,3,1100,44
98,46,470,373
99,0,656,479
99,36,1492,759
99,5,752,925
99,1,514,54
99,3,1074,42
100,0,656,480
100,36,1491,759
100,5,752,924
100,1,514,55
100,3,1074,42
101,36,1476,758
101,0,658,469
101,1,485,55
101,5,753,923
101,3,1052,36
101,49,724,48
101,50,993,37
102,36,1463,755
102,0,658,469
102,1,473,50
102,5,753,921
102,3,1024,35
102,50,955,36
103,36,1448,753
103,0,658,476
103,5,755,918
103,1,449,48
103,3,1006,30
103,51,681,41
104,36,1437,750
104,0,666,473
104,5,755,915
104,1,442,44
104,51,648,38
104,3,988,26
105,36,1426,751
105,0,665,490
105,5,749,911
105,1,408,41
105,3,960,23
105,51,631,35
106,36,1425,750
106,0,665,489
106,5,749,911
106,1,408,42
106,3,960,23
106,51,631,35
107,5,745,907
107,36,1415,750
107,0,666,490
108,36,1407,748
108,0,661,488
108,5,740,902
108,52,367,33
109,36,1397,747
109,0,657,487
109,5,738,900
110,36,1389,746
110,0,651,488
110,5,732,896
111,36,1379,743
111,0,655,489
111,5,726,896
111,53,806,387
112,36,1378,743
112,0,655,489
112,5,726,896
112,53,806,387
113,36,1365,740
113,0,652,486
113,5,723,892
114,36,1346,737
114,0,646,490
114,5,717,894
115,36,1331,732
115,0,646,490
115,5,714,893
116,36,1314,728
116,5,709,891
116,0,648,479
116,54,1819,212
117,36,1303,722
117,5,704,888
117,0,640,476
117,54,1807,209
118,36,1303,722
118,5,704,888
118,0,640,476
118,54,1807,208
119,36,1296,718
119,5,700,884
119,0,635,475
120,36,1298,715
120,0,630,472
120,5,694,882
121,36,1299,712
121,0,628,469
121,5,692,881
122,36,1296,709
122,0,630,471
122,5,685,877
123,36,1286,707
123,5,683,879
123,0,628,461
124,36,1286,707
124,5,683,879
124,0,627,460
125,36,1281,706
125,0,625,455
125,5,683,880
126,36,1274,704
126,0,623,448
126,5,684,883
127,36,1268,702
127,0,619,450
127,5,685,883
128,36,1261,703
128,5,684,885
128,0,618,444
129,36,1254,704
129,5,683,885
129,0,611,447
130,36,1254,704
130,5,683,885
130,0,611,447
131,36,1247,707
131,0,606,433
131,5,682,885
132,36,1237,709
132,0,608,469
132,5,681,886
133,36,1229,712
133,0,614,475
133,5,680,887
134,5,678,891
134,0,632,475
134,36,1224,715
135,5,674,890
135,0,654,478
135,36,1230,716
136,5,674,891
136,0,654,478
136,36,1230,716
137,5,671,893
137,0,651,486
137,36,1230,720
138,36,1228,721
138,5,670,892
138,0,644,490
139,36,1223,721
139,5,669,895
139,0,628,500
139,55,495,431
140,36,1213,722
140,0,625,508
140,5,669,897
141,36,1201,724
141,0,625,515
141,5,673,898
142,36,1200,723
142,0,626,515
142,5,672,898
143,36,1191,724
143,0,629,517
143,5,672,898
144,36,1184,723
144,0,627,517
144,5,678,900
145,36,1187,721
145,0,615,512
145,5,678,898
146,36,1187,720
146,0,588,534
146,56,428,273
147,36,1186,718
147,0,595,523
147,57,684,891
147,58,1042,1036
148,36,1187,718
148,0,595,526
148,57,684,891
149,36,1191,716
149,0,588,533
149,57,692,894
150,57,692,886
150,36,1197,713
150,0,595,548
150,59,537,806
151,57,698,884
151,36,1204,710
151,0,612,549
152,36,1212,708
152,0,625,550
152,57,708,881
152,60,1043,1036
153,36,1221,705
153,0,628,552
153,57,717,881
153,60,1047,1037
154,36,1221,705
154,0,628,552
154,57,717,881
154,60,1047,1037
155,36,1229,706
155,0,633,549
155,57,728,878
155,60,1052,1037
156,0,636,546
156,36,1242,702
156,60,1055,1033
157,36,1259,702
157,0,645,542
157,60,1058,1028
158,36,1277,699
158,0,655,537
158,61,757,871
158,60,1086,1023
159,0,679,551
159,61,733,867
159,36,1301,713
160,0,679,551
160,61,733,867
160,36,1301,713
161,61,736,869
161,0,709,546
161,36,1298,714
162,61,736,869
162,0,709,545
162,36,1298,713
163,61,735,869
163,0,709,546
163,36,1298,713
164,61,735,869
164,0,708,545
164,36,1298,714
165,61,736,868
165,0,708,546
165,36,1298,714
166,61,740,873
166,36,1280,709
166,0,724,538
167,61,740,873
167,36,1280,710
167,0,722,537
168,61,740,873
168,36,1279,710
168,0,722,537
169,0,748,540
169,36,1266,710
169,61,735,877
170,36,1265,710
170,0,748,540
170,61,735,877
171,36,1238,713
171,0,739,546
171,61,725,880
172,36,1238,714
172,0,739,545
172,61,725,881
173,36,1229,715
173,0,734,545
173,61,704,887
174,36,1229,715
174,0,734,546
174,61,704,887
175,36,1229,715
175,61,704,887
175,0,734,546
176,0,706,553
176,36,1230,716
176,61,681,893
177,0,706,553
177,36,1230,717
177,61,681,893
178,36,1189,722
178,62,657,594
179,36,1189,722
179,62,657,594
180,36,1188,722
180,62,657,594
180,63,662,907
181,36,1198,725
181,62,641,629
182,36,1197,725
182,62,641,629
183,36,1217,731
183,62,648,644
184,36,1217,731
184,62,648,644
185,36,1232,747
185,62,676,655
185,64,698,925
186,36,1232,747
186,62,676,655
186,64,698,925
187,36,1232,747
187,62,676,655
187,64,698,925
188,36,1231,753
188,65,727,655
188,64,724,920
189,36,1231,753
189,64,725,920
189,65,727,655
190,36,1241,751
190,65,760,645
190,66,60,999
191,36,1236,752
191,65,760,646
191,66,59,999
192,36,1241,751
192,65,760,646
192,66,59,999
193,65,795,623
193,67,1190,745
193,66,90,990
194,65,796,623
194,67,1211,746
194,66,90,989
195,67,1238,728
195,68,836,586
195,66,110,980
195,69,1063,869
196,67,1239,728
196,68,837,586
196,66,110,980
196,69,1063,870
197,67,1255,698
197,68,834,559
197,66,127,972
198,67,1255,698
198,68,834,559
198,66,127,973
199,67,1254,698
199,68,834,559
199,66,127,972
199,70,1142,845
200,68,856,524
200,67,1260,673
200,66,137,961
200,71,1274,833
201,68,856,524
201,67,1257,673
